soil_type,region,water_source,irrigation_source,season,sown,sowing_window,soil_ph,temp,waterrequired,relative_humidity,n,p,k,cropduration,seed_variety
silt loam,Potohar,irrigated,rainfed,rabi,Oct,early,6.2,22.1,636.8,57.6,118.9,51.5,47.9,80.4,Arooj-22
silt loam,Canal Area,rainfed,mixed,rabi,Nov,optimal,6.1,23.4,480.0,53.0,115.6,55.0,58.4,82.5,Dilkash-20
silt loam,South Punjab,irrigated,canal,rabi,Dec,late,6.8,21.7,579.6,55.8,82.2,45.4,47.3,89.5,Sawera-24
silt loam,Canal Area,rainfed,mixed,rabi,Oct,early,6.4,21.4,566.5,51.6,102.7,55.5,45.3,84.6,Dilkash-20
silt loam,Canal Area,irrigated,rainfed,rabi,Nov,optimal,6.2,21.4,593.5,59.0,99.4,55.5,50.7,83.4,Dilkash-20
loamy,Central Punjab,rainfed,canal,rabi,Dec,late,6.4,22.7,602.7,50.8,111.5,50.4,50.5,85.1,Sawera-24
silt loam,South Punjab,irrigated,rainfed,rabi,Oct,early,6.1,22.1,538.2,57.2,81.2,44.9,54.7,87.4,Falak-24
loamy,South Punjab,rainfed,rainfed,rabi,Nov,optimal,6.2,21.8,592.2,52.6,92.9,48.2,49.2,85.4,Dilkash-20
silt loam,South Punjab,irrigated,tube well,rabi,Dec,late,6.4,22.8,561.9,57.5,85.7,53.3,53.1,89.9,Sawera-24
sandy loam,Canal Area,rainfed,canal,rabi,Oct,early,7.0,23.2,471.5,60.0,93.8,50.4,56.5,84.7,Dilkash-20
clay loam,Potohar,irrigated,tube well,rabi,Nov,optimal,6.2,22.9,536.8,57.0,89.8,58.4,49.8,85.2,Subhani-21
loamy,South Punjab,rainfed,canal,rabi,Dec,late,6.7,22.0,595.2,53.7,105.9,55.0,58.9,88.9,Sawera-24
silt loam,Canal Area,irrigated,rainfed,rabi,Oct,early,6.9,22.8,484.3,55.0,89.6,47.4,57.6,88.0,Falak-24
sandy loam,Central Punjab,rainfed,rainfed,rabi,Nov,optimal,6.6,22.0,532.8,52.6,88.1,54.2,59.9,83.3,Dilkash-20
clay loam,Potohar,irrigated,mixed,rabi,Dec,late,6.4,21.2,590.9,56.5,92.6,52.4,56.6,81.5,Sawera-24
loamy,Central Punjab,rainfed,canal,rabi,Oct,early,6.1,21.8,574.5,56.0,87.3,46.9,59.9,89.3,Dilkash-20
clay loam,Potohar,irrigated,tube well,rabi,Nov,optimal,7.0,22.2,507.8,57.9,93.3,43.5,55.5,89.9,Subhani-21
sandy loam,Canal Area,rainfed,mixed,rabi,Dec,late,7.0,23.4,554.1,54.4,116.3,42.8,53.6,83.1,Sawera-24
loamy,Punjab North,irrigated,mixed,rabi,Oct,early,6.6,23.4,632.6,59.2,118.8,58.4,47.4,87.2,Falak-24
clay loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.9,21.6,492.9,57.2,95.8,59.4,56.6,85.4,Subhani-21
silt loam,Central Punjab,irrigated,tube well,rabi,Dec,late,6.8,23.1,649.3,50.7,89.6,41.6,52.0,86.3,Subhani-21
loamy,Canal Area,rainfed,mixed,rabi,Oct,early,6.7,23.1,467.7,54.4,102.9,59.1,58.7,85.7,Dilkash-20
clay loam,Potohar,irrigated,tube well,rabi,Nov,optimal,6.4,23.4,528.0,54.7,116.4,58.8,45.6,87.3,Subhani-21
sandy loam,Punjab North,rainfed,mixed,rabi,Dec,late,6.9,22.2,510.3,56.9,93.4,47.7,51.1,85.6,Sawera-24
sandy loam,Punjab North,irrigated,tube well,rabi,Oct,early,6.6,23.9,526.8,57.9,88.8,56.8,54.3,81.9,Falak-24
loamy,South Punjab,rainfed,rainfed,rabi,Nov,optimal,6.2,21.1,462.6,54.0,111.6,58.1,44.0,84.3,Dilkash-20
clay loam,South Punjab,irrigated,rainfed,rabi,Dec,late,6.4,22.9,546.2,57.4,81.3,52.6,50.3,80.1,Sawera-24
loamy,Central Punjab,rainfed,rainfed,rabi,Oct,early,6.4,22.2,594.7,56.6,107.8,49.4,51.1,81.0,Dilkash-20
loamy,Potohar,irrigated,rainfed,rabi,Nov,optimal,6.0,21.9,457.6,59.7,93.2,45.4,50.6,88.4,Arooj-22
clay loam,Potohar,rainfed,rainfed,rabi,Dec,late,6.1,22.7,640.9,55.2,100.8,54.4,47.8,84.5,Arooj-22
clay loam,South Punjab,irrigated,mixed,rabi,Oct,early,7.0,23.1,616.4,56.5,85.1,50.0,46.2,84.9,Sawera-24
silt loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.3,21.3,625.0,56.3,105.6,45.8,47.9,86.0,Arooj-22
clay loam,Potohar,irrigated,mixed,rabi,Dec,late,6.6,22.3,488.6,52.4,101.9,49.7,41.8,86.7,Sawera-24
sandy loam,Punjab North,rainfed,tube well,rabi,Oct,early,6.6,23.7,491.6,56.3,86.5,50.7,53.9,88.3,Subhani-21
loamy,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.9,23.8,481.4,53.2,81.0,54.4,55.2,88.9,Sawera-24
loamy,Canal Area,rainfed,tube well,rabi,Dec,late,6.8,23.1,495.0,55.3,85.0,52.9,58.4,89.1,Sawera-24
sandy loam,South Punjab,irrigated,tube well,rabi,Oct,early,6.2,23.8,572.8,51.7,108.8,53.6,47.1,88.8,Arooj-22
clay loam,Canal Area,rainfed,rainfed,rabi,Nov,optimal,6.4,21.9,640.4,55.2,104.7,45.6,49.0,80.5,Dilkash-20
sandy loam,Punjab North,irrigated,rainfed,rabi,Dec,late,6.6,21.3,576.4,50.9,93.7,50.1,41.2,81.0,Arooj-22
sandy loam,Central Punjab,rainfed,rainfed,rabi,Oct,early,6.1,21.9,601.1,55.2,99.9,51.4,49.6,83.9,Arooj-22
silt loam,Potohar,irrigated,canal,rabi,Nov,optimal,6.5,21.1,488.8,58.2,82.0,53.6,49.2,88.6,Dilkash-20
sandy loam,Punjab North,rainfed,mixed,rabi,Dec,late,6.1,23.1,609.7,52.8,105.6,50.0,50.4,86.8,Sawera-24
loamy,Potohar,irrigated,tube well,rabi,Oct,early,6.6,22.0,579.7,55.4,113.1,53.3,59.9,85.7,Arooj-22
sandy loam,Central Punjab,rainfed,tube well,rabi,Nov,optimal,6.1,23.3,478.8,52.8,100.8,59.8,57.8,87.1,Subhani-21
loamy,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.5,23.1,596.9,54.4,95.7,41.0,44.2,82.1,Sawera-24
loamy,Punjab North,rainfed,tube well,rabi,Oct,early,6.8,23.5,545.9,57.0,93.7,46.6,51.6,83.6,Subhani-21
loamy,Central Punjab,irrigated,tube well,rabi,Nov,optimal,6.7,23.6,492.3,51.2,116.3,58.0,54.2,88.4,Subhani-21
clay loam,Canal Area,rainfed,mixed,rabi,Dec,late,6.0,23.9,485.9,57.1,118.7,59.5,46.3,80.3,Sawera-24
silt loam,Central Punjab,irrigated,rainfed,rabi,Oct,early,7.0,21.9,531.8,53.1,93.8,46.1,56.5,83.1,Arooj-22
loamy,Potohar,rainfed,mixed,rabi,Nov,optimal,6.6,23.6,629.2,58.4,118.2,48.7,56.8,81.0,Dilkash-20
loamy,Potohar,irrigated,canal,rabi,Dec,late,6.9,23.0,552.9,52.2,94.2,44.8,55.1,83.1,Sawera-24
clay loam,Potohar,rainfed,canal,rabi,Oct,early,6.3,22.4,455.1,55.0,118.3,42.6,43.3,87.8,Falak-24
loamy,Potohar,irrigated,canal,rabi,Nov,optimal,7.0,21.2,627.0,59.9,88.0,45.5,44.5,84.8,Dilkash-20
sandy loam,Canal Area,rainfed,rainfed,rabi,Dec,late,6.7,21.8,459.3,53.3,110.4,42.5,42.8,84.6,Sawera-24
sandy loam,South Punjab,irrigated,tube well,rabi,Oct,early,6.9,22.5,576.3,52.0,102.7,52.0,53.8,83.6,Sawera-24
silt loam,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.0,23.8,522.1,55.0,107.5,55.2,51.4,83.6,Falak-24
loamy,Potohar,irrigated,rainfed,rabi,Dec,late,6.6,22.0,548.7,58.9,117.4,54.2,44.8,84.4,Arooj-22
clay loam,Central Punjab,rainfed,tube well,rabi,Oct,early,6.3,22.2,582.7,52.0,114.3,48.9,43.2,81.8,Subhani-21
sandy loam,Potohar,irrigated,mixed,rabi,Nov,optimal,6.0,22.9,550.4,59.5,81.5,59.3,58.1,84.6,Arooj-22
clay loam,Central Punjab,rainfed,canal,rabi,Dec,late,6.9,23.2,502.9,56.5,98.4,46.7,51.3,85.5,Sawera-24
clay loam,Central Punjab,irrigated,mixed,rabi,Oct,early,6.9,21.5,501.9,51.8,88.3,50.8,52.2,82.7,Subhani-21
sandy loam,Potohar,rainfed,canal,rabi,Nov,optimal,6.5,21.1,551.3,55.0,117.8,53.9,48.0,84.8,Arooj-22
clay loam,Canal Area,irrigated,rainfed,rabi,Dec,late,6.4,23.4,595.2,59.4,106.0,56.5,41.1,81.1,Sawera-24
sandy loam,Central Punjab,rainfed,canal,rabi,Oct,early,7.0,21.3,567.3,58.4,116.8,40.6,58.2,89.0,Falak-24
clay loam,Central Punjab,irrigated,rainfed,rabi,Nov,optimal,6.5,22.6,639.4,57.5,106.0,52.4,50.0,84.3,Subhani-21
sandy loam,Potohar,rainfed,mixed,rabi,Dec,late,6.3,21.3,630.9,54.8,80.0,40.3,54.9,89.6,Arooj-22
loamy,Central Punjab,irrigated,rainfed,rabi,Oct,early,7.0,23.0,583.8,53.8,99.4,59.6,53.9,84.7,Subhani-21
silt loam,Central Punjab,rainfed,mixed,rabi,Nov,optimal,6.1,21.6,600.8,56.6,93.4,44.1,47.7,82.0,Dilkash-20
sandy loam,Potohar,irrigated,tube well,rabi,Dec,late,6.4,23.2,513.3,58.9,88.8,47.6,41.8,84.9,Sawera-24
sandy loam,Potohar,rainfed,tube well,rabi,Oct,early,7.0,22.2,603.2,58.1,107.5,56.7,57.3,83.8,Arooj-22
silt loam,Punjab North,irrigated,tube well,rabi,Nov,optimal,6.6,23.9,498.4,50.0,92.7,48.7,57.4,84.2,Subhani-21
sandy loam,Canal Area,rainfed,rainfed,rabi,Dec,late,6.2,22.2,641.0,58.7,107.8,47.0,52.1,84.4,Arooj-22
sandy loam,Canal Area,irrigated,tube well,rabi,Oct,early,6.2,22.5,515.6,53.7,119.7,46.3,54.9,82.5,Dilkash-20
clay loam,Central Punjab,rainfed,canal,rabi,Nov,optimal,6.1,22.8,616.9,55.8,112.0,41.2,55.8,81.6,Subhani-21
silt loam,Canal Area,irrigated,mixed,rabi,Dec,late,6.9,21.3,627.7,59.5,102.3,44.4,53.4,81.5,Sawera-24
loamy,Central Punjab,rainfed,mixed,rabi,Oct,early,6.9,21.0,633.4,53.6,107.6,42.0,60.0,81.5,Subhani-21
sandy loam,Punjab North,irrigated,canal,rabi,Nov,optimal,6.3,22.5,551.7,50.8,84.5,54.2,41.3,80.9,Subhani-21
silt loam,Potohar,rainfed,rainfed,rabi,Dec,late,6.2,23.6,462.4,59.7,84.2,51.7,51.4,84.9,Arooj-22
clay loam,Potohar,irrigated,rainfed,rabi,Oct,early,6.1,22.8,479.0,56.5,114.2,52.8,40.7,88.8,Arooj-22
